"Host","ESX Version","ESX Build"
"172.17.254.51","6.7.0","8169922"
"172.17.254.54","6.7.0","8169922"
"172.17.254.56","6.7.0","15160138"
"172.17.254.57","6.7.0","15160138"
"172.17.254.58","6.7.0","15160138"
"172.17.254.59","6.7.0","15160138"
"172.17.254.60","6.7.0","15160138"
"172.17.254.51","6.7.0","8169922"
"172.17.254.54","6.7.0","8169922"
"172.17.254.56","6.7.0","15160138"
"172.17.254.57","6.7.0","15160138"
"172.17.254.58","6.7.0","15160138"
"172.17.254.59","6.7.0","15160138"
"172.17.254.60","6.7.0","15160138"
