"Name","Manufacturer","Host_Model","ProcessorType","Partner Name","Model","CPU Series","Target Patch Level","Compliance_status"
"172.17.254.51","HP","ProLiant DL360p Gen8","Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz","HP","ProLiant DL360p Gen8","Intel Xeon E5-2600 Series","6.5 U3, 6.5 U2, 6.5 U1, 6.5","Non-Compliant"
"172.17.254.54","HP","ProLiant DL360p Gen8","Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz","HP","ProLiant DL360p Gen8","Intel Xeon E5-2600 Series","6.5 U3, 6.5 U2, 6.5 U1, 6.5","Non-Compliant"
"172.17.254.56","HP","ProLiant DL360 Gen9","Intel(R) Xeon(R) CPU E5-2650 v4 @ 2.20GHz","Hewlett Packard Enterprise","ProLiant DL360 Gen9","Intel Xeon E5-2600-v4 Series","7.0 U3, 7.0 U2, 7.0 U1, 7","Non-Compliant"
"172.17.254.57","HP","ProLiant DL360 Gen9","Intel(R) Xeon(R) CPU E5-2650 v4 @ 2.20GHz","Hewlett Packard Enterprise","ProLiant DL360 Gen9","Intel Xeon E5-2600-v4 Series","7.0 U3, 7.0 U2, 7.0 U1, 7","Non-Compliant"
"172.17.254.58","HP","ProLiant DL360 Gen9","Intel(R) Xeon(R) CPU E5-2623 v4 @ 2.60GHz","Hewlett Packard Enterprise","ProLiant DL360 Gen9","Intel Xeon E5-2600-v4 Series","7.0 U3, 7.0 U2, 7.0 U1, 7","Non-Compliant"
"172.17.254.59","HP","ProLiant DL360 Gen9","Intel(R) Xeon(R) CPU E5-2623 v4 @ 2.60GHz","Hewlett Packard Enterprise","ProLiant DL360 Gen9","Intel Xeon E5-2600-v4 Series","7.0 U3, 7.0 U2, 7.0 U1, 7","Non-Compliant"
"172.17.254.60","HP","ProLiant DL360 Gen9","Intel(R) Xeon(R) CPU E5-2650 v4 @ 2.20GHz","Hewlett Packard Enterprise","ProLiant DL360 Gen9","Intel Xeon E5-2600-v4 Series","7.0 U3, 7.0 U2, 7.0 U1, 7","Non-Compliant"
"172.17.254.51","HP","ProLiant DL360p Gen8","Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz","HP","ProLiant DL360p Gen8","Intel Xeon E5-2600 Series","6.5 U3, 6.5 U2, 6.5 U1, 6.5","Non-Compliant"
"172.17.254.54","HP","ProLiant DL360p Gen8","Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz","HP","ProLiant DL360p Gen8","Intel Xeon E5-2600 Series","6.5 U3, 6.5 U2, 6.5 U1, 6.5","Non-Compliant"
"172.17.254.56","HP","ProLiant DL360 Gen9","Intel(R) Xeon(R) CPU E5-2650 v4 @ 2.20GHz","Hewlett Packard Enterprise","ProLiant DL360 Gen9","Intel Xeon E5-2600-v4 Series","7.0 U3, 7.0 U2, 7.0 U1, 7","Non-Compliant"
"172.17.254.57","HP","ProLiant DL360 Gen9","Intel(R) Xeon(R) CPU E5-2650 v4 @ 2.20GHz","Hewlett Packard Enterprise","ProLiant DL360 Gen9","Intel Xeon E5-2600-v4 Series","7.0 U3, 7.0 U2, 7.0 U1, 7","Non-Compliant"
"172.17.254.58","HP","ProLiant DL360 Gen9","Intel(R) Xeon(R) CPU E5-2623 v4 @ 2.60GHz","Hewlett Packard Enterprise","ProLiant DL360 Gen9","Intel Xeon E5-2600-v4 Series","7.0 U3, 7.0 U2, 7.0 U1, 7","Non-Compliant"
"172.17.254.59","HP","ProLiant DL360 Gen9","Intel(R) Xeon(R) CPU E5-2623 v4 @ 2.60GHz","Hewlett Packard Enterprise","ProLiant DL360 Gen9","Intel Xeon E5-2600-v4 Series","7.0 U3, 7.0 U2, 7.0 U1, 7","Non-Compliant"
"172.17.254.60","HP","ProLiant DL360 Gen9","Intel(R) Xeon(R) CPU E5-2650 v4 @ 2.20GHz","Hewlett Packard Enterprise","ProLiant DL360 Gen9","Intel Xeon E5-2600-v4 Series","7.0 U3, 7.0 U2, 7.0 U1, 7","Non-Compliant"
