"Host","ESXi Version","ESXi Build","Version","Release Name","Release Date","Build Number","Available as","Installer Build Number","Current Patch Level","Compliance_status","Target Available","Target"
"172.17.254.51","6.7.0","8169922","ESXi 6.7 GA","ESXi 6.7 GA","4/17/2018 12:00:00 AM","8169922","ISO","N/A","N-29","Non-Compliant","1. Patch; 2. ISO; 3. Patch","1. ESXi670-202210001; 2. ESXi 8.0 Update 3b; 3. ESXi 7.0 Update 3q"
"172.17.254.54","6.7.0","8169922","ESXi 6.7 GA","ESXi 6.7 GA","4/17/2018 12:00:00 AM","8169922","ISO","N/A","N-29","Non-Compliant","1. Patch; 2. ISO; 3. Patch","1. ESXi670-202210001; 2. ESXi 8.0 Update 3b; 3. ESXi 7.0 Update 3q"
"172.17.254.56","6.7.0","15160138","ESXi 6.7 P01 (Update 3b)","ESXi670-201912001","12/5/2019 12:00:00 AM","15160138","ISO","N/A","N-14","Non-Compliant","1. Patch; 2. ISO; 3. Patch","1. ESXi670-202210001; 2. ESXi 8.0 Update 3b; 3. ESXi 7.0 Update 3q"
"172.17.254.57","6.7.0","15160138","ESXi 6.7 P01 (Update 3b)","ESXi670-201912001","12/5/2019 12:00:00 AM","15160138","ISO","N/A","N-14","Non-Compliant","1. Patch; 2. ISO; 3. Patch","1. ESXi670-202210001; 2. ESXi 8.0 Update 3b; 3. ESXi 7.0 Update 3q"
"172.17.254.58","6.7.0","15160138","ESXi 6.7 P01 (Update 3b)","ESXi670-201912001","12/5/2019 12:00:00 AM","15160138","ISO","N/A","N-14","Non-Compliant","1. Patch; 2. ISO; 3. Patch","1. ESXi670-202210001; 2. ESXi 8.0 Update 3b; 3. ESXi 7.0 Update 3q"
"172.17.254.59","6.7.0","15160138","ESXi 6.7 P01 (Update 3b)","ESXi670-201912001","12/5/2019 12:00:00 AM","15160138","ISO","N/A","N-14","Non-Compliant","1. Patch; 2. ISO; 3. Patch","1. ESXi670-202210001; 2. ESXi 8.0 Update 3b; 3. ESXi 7.0 Update 3q"
"172.17.254.60","6.7.0","15160138","ESXi 6.7 P01 (Update 3b)","ESXi670-201912001","12/5/2019 12:00:00 AM","15160138","ISO","N/A","N-14","Non-Compliant","1. Patch; 2. ISO; 3. Patch","1. ESXi670-202210001; 2. ESXi 8.0 Update 3b; 3. ESXi 7.0 Update 3q"
"172.17.254.51","6.7.0","8169922","ESXi 6.7 GA","ESXi 6.7 GA","4/17/2018 12:00:00 AM","8169922","ISO","N/A","N-29","Non-Compliant","1. Patch; 2. ISO; 3. Patch","1. ESXi670-202210001; 2. ESXi 8.0 Update 3b; 3. ESXi 7.0 Update 3q"
"172.17.254.54","6.7.0","8169922","ESXi 6.7 GA","ESXi 6.7 GA","4/17/2018 12:00:00 AM","8169922","ISO","N/A","N-29","Non-Compliant","1. Patch; 2. ISO; 3. Patch","1. ESXi670-202210001; 2. ESXi 8.0 Update 3b; 3. ESXi 7.0 Update 3q"
"172.17.254.56","6.7.0","15160138","ESXi 6.7 P01 (Update 3b)","ESXi670-201912001","12/5/2019 12:00:00 AM","15160138","ISO","N/A","N-14","Non-Compliant","1. Patch; 2. ISO; 3. Patch","1. ESXi670-202210001; 2. ESXi 8.0 Update 3b; 3. ESXi 7.0 Update 3q"
"172.17.254.57","6.7.0","15160138","ESXi 6.7 P01 (Update 3b)","ESXi670-201912001","12/5/2019 12:00:00 AM","15160138","ISO","N/A","N-14","Non-Compliant","1. Patch; 2. ISO; 3. Patch","1. ESXi670-202210001; 2. ESXi 8.0 Update 3b; 3. ESXi 7.0 Update 3q"
"172.17.254.58","6.7.0","15160138","ESXi 6.7 P01 (Update 3b)","ESXi670-201912001","12/5/2019 12:00:00 AM","15160138","ISO","N/A","N-14","Non-Compliant","1. Patch; 2. ISO; 3. Patch","1. ESXi670-202210001; 2. ESXi 8.0 Update 3b; 3. ESXi 7.0 Update 3q"
"172.17.254.59","6.7.0","15160138","ESXi 6.7 P01 (Update 3b)","ESXi670-201912001","12/5/2019 12:00:00 AM","15160138","ISO","N/A","N-14","Non-Compliant","1. Patch; 2. ISO; 3. Patch","1. ESXi670-202210001; 2. ESXi 8.0 Update 3b; 3. ESXi 7.0 Update 3q"
"172.17.254.60","6.7.0","15160138","ESXi 6.7 P01 (Update 3b)","ESXi670-201912001","12/5/2019 12:00:00 AM","15160138","ISO","N/A","N-14","Non-Compliant","1. Patch; 2. ISO; 3. Patch","1. ESXi670-202210001; 2. ESXi 8.0 Update 3b; 3. ESXi 7.0 Update 3q"
